full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Trent Alexander-Arnold,22,Premier League,2018/2019,Defender,Liverpool,2467,England,29,1,12
Troy Deeney,32,Premier League,2018/2019,Forward,Watford,2548,England,32,9,5
Tyias Browning,26,Premier League,2018/2019,Defender,Everton,0,England,0,0,0
Tyreke Johnson,22,Premier League,2018/2019,Defender,Southampton,0,England,1,0,0
Tyrone Mings,28,Premier League,2018/2019,Defender,AFC Bournemouth,141,England,5,0,0
Vicente Guaita,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,Spain,20,0,0
Vicente Iborra De La Fuente,33,Premier League,2018/2019,Midfielder,Leicester City,226,Spain,8,0,0
Víctor Camarasa,26,Premier League,2018/2019,Midfielder,Cardiff City,2579,Spain,32,5,4
Victor Moses,30,Premier League,2018/2019,Midfielder,Chelsea,26,Nigeria,2,0,0
Victor Nilsson Lindelöf,26,Premier League,2018/2019,Defender,Manchester United,2602,Sweden,30,1,1
Victor Wanyama,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,Kenya,13,1,0
Viktor Gyökeres,22,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,Sweden,0,0,0
Vincent Janssen,26,Premier League,2018/2019,Forward,Tottenham Hotspur,36,Netherlands,3,0,0
Vincent Kompany,34,Premier League,2018/2019,Defender,Manchester City,1223,Belgium,17,1,0
Virgil van Dijk,29,Premier League,2018/2019,Defender,Liverpool,3385,Netherlands,38,4,2
Wayne Hennessey,34,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,Wales,18,0,0
Wes Morgan,37,Premier League,2018/2019,Defender,Leicester City,1926,Jamaica,22,3,0
Wesley Hoedt,27,Premier League,2018/2019,Defender,Southampton,1170,Netherlands,13,0,0
Wilfredo Daniel Caballero,39,Premier League,2018/2019,Goalkeeper,Chelsea,180,Argentina,2,0,0
Wilfried Zaha,28,Premier League,2018/2019,Midfielder,Crystal Palace,3041,Côte d'Ivoire,34,10,5
Will Hughes,25,Premier League,2018/2019,Midfielder,Watford,2436,England,32,2,4
Will Norris,27,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,England,1,0,0
Willian,32,Premier League,2018/2019,Forward,Chelsea,2108,Brazil,32,3,6
Willy Boly,30,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,France,36,4,0
Xherdan Shaqiri,29,Premier League,2018/2019,Midfielder,Liverpool,1058,Switzerland,24,6,3
Yann Valery,22,Premier League,2018/2019,Defender,Southampton,1715,France,23,2,1
Yerry Fernando Mina González,26,Premier League,2018/2019,Defender,Everton,890,Colombia,13,1,0
Yoshinori Muto,28,Premier League,2018/2019,Forward,Newcastle United,516,Japan,17,1,0
Youri Tielemans,23,Premier League,2018/2019,Midfielder,Leicester City,1092,Belgium,13,3,4
Yves Bissouma,24,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,Mali,28,0,0
Zechariah Medley,20,Premier League,2018/2019,Defender,Arsenal,0,England,0,0,0
Zeze Steven Sessegnon,20,Premier League,2018/2019,Defender,Fulham,0,England,0,0,0
Łukasz Fabiański,35,Premier League,2018/2019,Goalkeeper,West Ham United,3420,Poland,38,0,0
